PID,Neighborhood,Year Built,Overall Qual,Kitchen Qual,Exter Qual,Lot Area,SalePrice
528292020,Gilbert,2001,7,Gd,Gd,9505,222500
528328100,NoRidge,1999,9,Gd,Gd,14774,333168
528344070,NoRidge,1998,8,Gd,Gd,17433,355000
528358010,NoRidge,1996,7,Gd,Gd,10593,260400
528363130,NoRidge,1994,8,Gd,Gd,12256,325000
528382020,NoRidge,1999,8,Gd,Gd,11764,290000
528382030,NoRidge,1998,7,TA,Gd,16770,221000
528386040,NoRidge,1995,8,Gd,Gd,14720,410000
528445060,Somerst,2005,8,Gd,Gd,8987,221500
528456160,Somerst,2009,7,Gd,Gd,9215,204500
528458070,Somerst,2009,7,Gd,TA,8640,215200
528458110,Somerst,2008,8,Gd,Gd,9000,262500
528477080,Somerst,2004,7,Gd,Gd,12552,254900
528480090,Somerst,2005,6,Gd,Gd,10440,271500
531367050,SawyerW,2004,7,Gd,Gd,10142,233000
531369060,SawyerW,2004,7,Gd,Gd,11920,181000
531380080,SawyerW,1994,7,Gd,Gd,8880,205000
531451110,SawyerW,1980,6,TA,TA,8012,143000
531451280,SawyerW,1992,6,Gd,Gd,11218,189000
531452020,SawyerW,1979,6,TA,TA,7892,99500
531452050,SawyerW,1984,6,TA,TA,7175,125000
531452180,SawyerW,1993,7,Gd,Gd,9453,194500
531453010,SawyerW,1984,6,TA,TA,9672,152000
531453040,SawyerW,1980,6,TA,TA,8400,171000
531477050,SawyerW,1920,5,TA,TA,9800,67500
532351140,Sawyer,1978,6,TA,TA,8930,112000
532354090,Sawyer,1961,5,Gd,TA,11782,148000
532376160,Sawyer,1965,5,TA,TA,8450,138500
532377060,Sawyer,1967,5,TA,TA,9819,122000
532377100,Sawyer,1963,5,TA,TA,7500,133000
532378110,Sawyer,1962,5,TA,TA,6897,127000
532479070,Sawyer,1974,6,TA,TA,15410,169000
533130020,NoRidge,1992,7,Gd,Gd,10186,190000
533130130,NoRidge,1993,8,Gd,Gd,13143,362500
533130160,NoRidge,1992,8,Gd,Gd,11134,285000
533205060,Somerst,2004,7,Gd,Gd,4835,260000
533208090,Somerst,2004,7,Gd,Gd,3515,190000
533210060,Somerst,2004,7,Gd,Gd,3215,155000
533212010,Somerst,2004,7,Gd,Gd,3182,151000
533212020,Somerst,2004,7,Gd,Gd,2544,149500
533212060,Somerst,2005,6,Gd,Gd,2544,152000
533213030,Somerst,2009,7,Gd,Ex,4403,222000
533221090,Somerst,2000,6,Gd,Gd,2117,177500
533221110,Somerst,2000,6,Gd,Gd,2980,177000
533223020,Somerst,1999,7,Gd,Gd,2572,155000
533223100,Somerst,2003,7,Gd,Gd,2403,147110
533238045,Somerst,2010,8,Gd,Gd,12853,267916
533244030,Somerst,2000,8,Gd,Gd,7379,254000
533253060,Greens,1980,8,Gd,Gd,4420,155000
533253210,Greens,1978,8,Gd,Gd,3880,206000
533352170,Sawyer,1976,6,Gd,Gd,13517,130500
534102025,Somerst,2002,7,Gd,Gd,8000,230000
534129040,NWAmes,1967,6,TA,TA,10456,218500
534151175,NWAmes,1993,6,Gd,TA,10791,243500
534152050,NWAmes,1977,6,Gd,TA,10603,205000
534152070,NWAmes,1978,6,TA,TA,18837,212500
534152100,NWAmes,1988,7,TA,TA,10421,196500
534176060,NWAmes,1972,6,Gd,TA,9360,197500
534176230,NWAmes,1971,6,TA,TA,9600,171000
534202160,NAmes,1966,5,TA,TA,9600,142250
534251320,NWAmes,1963,6,TA,TA,9790,143000
534276360,NAmes,1959,4,TA,TA,9320,128950
534401110,NAmes,1966,5,TA,TA,9900,159000
534401140,NAmes,1967,5,Gd,TA,9680,178900
534403360,NAmes,1964,6,TA,TA,10600,136300
534403410,NAmes,1964,5,TA,TA,14112,180500
534425310,NAmes,1963,6,Gd,TA,8800,137500
534427010,NAmes,1962,5,TA,TA,13260,84900
534430080,NAmes,1950,5,Gd,TA,9717,142125
534431050,NAmes,1952,5,TA,Gd,9724,197600
534431070,NAmes,1949,6,TA,TA,17360,172500
534450180,BrkSide,1958,5,TA,TA,7207,116500
534451150,BrkSide,1940,3,Fa,TA,5350,76500
534475100,NAmes,1954,5,TA,TA,9920,128000
534476260,NAmes,1955,6,TA,TA,9600,153000
534479320,NAmes,1954,5,TA,TA,7800,132000
535101020,NAmes,1966,6,Gd,TA,11380,178000
535106190,NAmes,1960,5,TA,TA,11600,154300
535125010,NAmes,1970,7,TA,TA,19900,180000
535126040,NAmes,1966,6,Gd,Gd,16492,190000
535152010,NAmes,1958,5,TA,TA,8267,135000
535152050,NAmes,2003,7,Gd,Gd,8197,214000
535152130,NAmes,1959,5,TA,TA,8050,136000
535152150,NAmes,1959,5,Gd,TA,10552,165500
535152250,NAmes,1957,5,TA,TA,8400,145000
535153070,NAmes,1959,6,TA,TA,8760,148000
535154050,NAmes,1959,5,TA,TA,12160,142000
535175070,NAmes,1960,5,TA,TA,9300,167500
535175180,NAmes,1959,5,TA,TA,10725,108538
535179020,NAmes,1959,6,TA,TA,10032,159500
535180130,NAmes,1956,4,TA,TA,8382,108000
535302080,NAmes,1952,5,Fa,TA,10950,135000
535302200,NAmes,1955,5,TA,TA,10895,122500
535304060,NAmes,1958,5,TA,TA,13587,119000
535304180,NAmes,1953,5,Gd,TA,7922,109000
535325400,NAmes,1920,4,TA,TA,7898,105000
535327140,NAmes,1955,5,TA,TA,7200,107500
535350030,NAmes,1954,5,TA,TA,10200,144900
535350040,NAmes,1956,5,TA,TA,5868,129000
535353190,NAmes,1948,6,TA,TA,17503,97500
535377090,OldTown,1980,6,TA,TA,6979,144000
535401080,NAmes,1959,5,Gd,TA,9830,162000
535425010,NAmes,1967,7,Gd,Gd,11275,242000
535450210,NAmes,1948,6,TA,TA,8064,132000
535453070,NAmes,1959,5,Gd,TA,7500,154000
535454070,NAmes,1952,5,TA,TA,8520,166000
535456110,NAmes,1951,5,Gd,TA,7200,134800
535457010,NAmes,1962,6,TA,TA,10000,160000
535457090,NAmes,1960,5,TA,TA,7635,148000
535476350,NAmes,1963,6,TA,TA,9760,192000
535477020,NAmes,1966,6,TA,TA,7700,155000
902102100,OldTown,1900,4,TA,TA,4800,80400
902104060,OldTown,1910,4,TA,TA,8800,96500
902106130,OldTown,1920,5,TA,TA,4485,109500
902106140,OldTown,1927,5,TA,TA,8960,115000
902110090,OldTown,1957,5,Gd,TA,5805,143000
902125080,OldTown,1915,3,TA,Gd,5790,107400
902125160,OldTown,1945,4,TA,TA,4608,80000
902128170,OldTown,1940,5,Gd,TA,7200,119000
902206040,OldTown,1929,5,TA,TA,5500,130000
902206130,OldTown,1938,6,Fa,TA,6900,119000
902206220,OldTown,1948,5,Gd,TA,11851,129000
902206240,OldTown,1920,5,TA,TA,8239,100000
902207130,OldTown,1923,2,TA,TA,9656,12789
902207140,OldTown,1928,6,TA,TA,8520,105900
902305110,OldTown,1900,8,Gd,Gd,9600,150000
902327040,OldTown,1915,5,TA,TA,10800,139000
902329030,OldTown,1890,8,Gd,Gd,9000,240000
902401060,OldTown,1910,5,Fa,TA,9045,76500
902402010,OldTown,1957,6,TA,TA,7407,149700
902402130,OldTown,1910,4,TA,TA,7740,125500
902402250,OldTown,1885,4,TA,TA,11340,122500
902403070,OldTown,1922,6,TA,TA,10560,140750
903204040,BrkSide,1950,5,TA,TA,5830,128500
903206120,BrkSide,1922,7,Gd,TA,7793,209500
903225150,BrkSide,1925,4,Gd,TA,5000,87000
903226160,BrkSide,1939,6,TA,TA,6000,134000
903227020,BrkSide,1940,6,TA,TA,6000,128000
903227150,BrkSide,1942,5,Gd,TA,6360,132000
903228150,BrkSide,1948,6,TA,TA,6000,139900
903232190,BrkSide,1936,5,TA,TA,6240,123900
903233120,BrkSide,1930,5,TA,TA,6240,138400
903234050,OldTown,1923,6,TA,TA,6120,109500
903425110,OldTown,1921,7,TA,TA,10300,140000
903426180,OldTown,1915,4,TA,TA,8094,149500
903426200,OldTown,1912,6,Gd,Gd,12900,159900
903430080,OldTown,1920,6,TA,TA,3068,122000
903450110,IDOTRR,1963,5,TA,Fa,8472,110000
903454060,IDOTRR,1930,4,Fa,Fa,5600,55000
903476030,OldTown,1900,5,Gd,TA,7630,140000
904100140,ClearCr,1940,7,TA,TA,24090,244400
904101110,ClearCr,1959,5,TA,TA,15263,173000
904300150,ClearCr,1917,5,Po,TA,10632,107500
904302260,SWISU,1915,5,TA,Fa,9900,100000
904350045,SWISU,1940,6,TA,TA,6001,95000
904351040,SWISU,1907,4,TA,TA,6449,93369
904352190,SWISU,1910,5,TA,TA,6048,114900
905101100,Sawyer,1875,5,TA,TA,6342,94000
905101300,Sawyer,1967,4,TA,Fa,10773,136000
905101310,Sawyer,1968,4,TA,TA,10778,136500
905102060,Sawyer,1965,5,TA,TA,11625,131500
905103060,Sawyer,1957,5,TA,TA,11341,121500
905104210,Sawyer,1967,5,TA,TA,8521,125000
905105070,Sawyer,1968,5,Gd,TA,8246,154000
905105200,Sawyer,1966,5,Gd,TA,7800,137900
905106140,Sawyer,1969,6,TA,TA,9364,158000
905106170,Sawyer,1968,5,TA,TA,7832,137250
905107110,Sawyer,1978,5,TA,TA,7424,160250
905107250,Sawyer,1968,5,TA,TA,11227,163000
905107320,Sawyer,1978,6,TA,TA,11616,158900
905109130,ClearCr,1996,7,Gd,Gd,14000,328000
905109170,ClearCr,1977,7,TA,Gd,20062,270000
905201030,Sawyer,1927,4,TA,TA,9259,85000
905202090,Sawyer,1950,4,Gd,TA,9600,128000
905325030,ClearCr,1979,7,Gd,Gd,23595,260000
905352140,ClearCr,1978,6,Gd,TA,17082,230000
905378040,Edwards,1938,3,Fa,TA,18600,124000
905426060,Edwards,1920,5,TA,TA,10625,83000
905426200,Edwards,1950,6,Gd,TA,11479,144500
905451320,Edwards,1956,5,TA,TA,9571,129000
905452110,Edwards,1947,4,TA,TA,9350,127000
905452160,Edwards,1954,5,TA,TA,9525,128000
905453040,Edwards,2009,6,Gd,TA,10420,186000
905453080,Edwards,2009,7,Gd,Gd,17485,308030
905475510,Edwards,1964,5,TA,TA,11200,114000
905478190,Edwards,1946,4,Gd,TA,11100,84900
906201030,SawyerW,1985,6,Gd,Gd,9206,178000
906201120,SawyerW,1987,7,Gd,Gd,11980,270000
906204230,SawyerW,1993,6,Gd,Gd,12361,218000
906223090,SawyerW,1993,7,Gd,Gd,9938,236000
906225210,SawyerW,1992,6,Gd,TA,9069,147000
906378100,CollgCr,2008,8,Gd,Gd,10475,245350
906380190,CollgCr,2006,7,Gd,Gd,6762,206000
906385010,CollgCr,2009,7,Gd,TA,10402,198900
906385020,CollgCr,2010,7,Gd,Gd,7360,187000
906402200,SawyerW,1990,7,Gd,TA,12376,320000
906425045,SawyerW,1900,6,TA,TA,14235,138500
906477110,ClearCr,1971,6,TA,TA,8816,155000
907125090,CollgCr,1996,5,TA,TA,11105,159000
907180050,CollgCr,1997,7,TA,TA,9337,191000
907185060,CollgCr,1998,6,Gd,TA,8750,200500
907200280,CollgCr,1977,5,TA,Gd,15240,150000
907200290,CollgCr,1977,6,TA,TA,10900,161750
907200340,CollgCr,1976,5,TA,TA,10650,128200
907203070,CollgCr,1972,5,TA,TA,7480,127000
907250030,CollgCr,2003,8,Gd,Gd,10389,318000
907252120,CollgCr,2001,8,Gd,Gd,11423,272000
907262050,CollgCr,2003,7,Gd,Gd,9548,237000
907280040,CollgCr,1997,7,Gd,Gd,9375,240000
907290040,CollgCr,1998,7,Gd,TA,12137,224900
907290170,CollgCr,2003,6,Gd,Gd,4435,143750
907290240,CollgCr,2004,6,Gd,Gd,4426,143000
907401090,CollgCr,2003,8,Gd,Gd,10635,232000
907410080,CollgCr,2004,7,Gd,Gd,8400,213000
907414030,CollgCr,2004,7,Gd,Gd,8773,185500
908102060,Edwards,1945,3,TA,TA,8777,84900
908102110,Edwards,1954,5,TA,TA,8842,155891
908102130,Edwards,1965,5,TA,TA,9825,100000
908102170,Edwards,1968,5,TA,TA,10044,144000
908102300,Edwards,1948,4,Fa,TA,11792,64000
908103350,Edwards,1975,6,TA,TA,6305,125200
908152080,Edwards,1976,6,TA,TA,7819,107000
908203100,Edwards,1958,4,TA,TA,6410,90000
908208020,Edwards,2003,4,TA,TA,8546,140000
908225320,Edwards,1945,6,TA,TA,8741,113000
908226130,Edwards,1941,4,Fa,TA,12180,80000
908275300,Edwards,1957,5,TA,TA,8562,144500
909100080,SWISU,1924,5,Fa,TA,4853,104000
909100110,SWISU,1915,6,Fa,TA,6858,128000
909101070,Edwards,1914,3,TA,TA,8212,58500
909176140,SWISU,1924,5,Gd,TA,5000,127000
909176150,SWISU,1939,6,TA,TA,7890,126000
909177100,SWISU,1967,4,TA,TA,7200,160000
909250030,SWISU,1931,5,TA,TA,9839,100000
909250060,SWISU,1919,6,Gd,TA,9638,169000
909281080,Crawfor,1941,7,TA,Gd,10452,257500
909426080,Crawfor,1950,5,TA,TA,15600,215000
909427230,Crawfor,1941,7,Gd,Ex,9042,266500
909428280,Crawfor,1959,7,Ex,Gd,17500,335000
909452114,Crawfor,1994,7,Gd,TA,19645,203135
909455030,Blueste,1989,8,Gd,Gd,3907,185000
909455040,Blueste,1989,8,Gd,Gd,3907,162500
909475140,Crawfor,1959,7,TA,TA,15602,289000
910202060,IDOTRR,1922,4,Gd,TA,5436,125500
910203250,IDOTRR,1941,2,TA,TA,8154,82000
910205120,IDOTRR,1921,6,TA,TA,9140,110000
911128180,IDOTRR,1920,4,TA,TA,7500,68400
911202100,IDOTRR,1900,4,TA,TA,8712,102776
911204090,IDOTRR,1952,5,Fa,Fa,8712,55993
911204100,IDOTRR,1896,4,TA,Fa,8712,50138
911370510,Crawfor,2004,8,Gd,Gd,3811,246000
914467040,Mitchel,1998,8,Gd,Gd,11050,254900
914475090,Mitchel,1977,6,Gd,TA,9620,190000
914476520,Mitchel,2003,7,Gd,Gd,9196,201000
914478045,Mitchel,1976,6,TA,TA,12328,169900
914478110,Mitchel,1976,6,TA,TA,12760,170000
916125360,Timber,1948,5,TA,TA,57200,160000
916386010,Timber,2008,7,Gd,Gd,11896,220000
916386020,Timber,2009,7,Gd,Gd,9803,179781
916386060,Timber,2006,5,TA,TA,9802,174000
916386090,Timber,2009,8,Ex,Gd,12003,269500
916455170,Timber,2002,7,Gd,Gd,11316,214900
916475110,Timber,2002,8,Gd,Gd,14191,202900
921128020,Timber,2008,9,Ex,Ex,13214,378500
923201020,Mitchel,1965,5,TA,TA,15300,169000
923202105,Mitchel,2004,5,Gd,TA,10114,173500
923204150,Mitchel,1971,6,TA,TA,9400,139000
923205015,Mitchel,1999,5,TA,TA,11875,166500
923225300,MeadowV,1973,4,TA,TA,1974,83500
923225390,MeadowV,1973,5,TA,TA,2394,119500
923225440,MeadowV,1976,5,TA,TA,2592,85000
923226250,MeadowV,1970,4,TA,TA,1476,76000
923226320,MeadowV,1972,4,TA,TA,1491,75500
923228270,MeadowV,1970,4,TA,TA,1900,88250
923228370,MeadowV,1972,4,TA,TA,1890,85500
923230190,Mitchel,1971,5,TA,TA,6953,130000
923251080,Mitchel,1962,5,TA,TA,26142,157900
923276030,Mitchel,1984,5,Gd,TA,12887,149900
923276250,Mitchel,1985,5,TA,TA,7700,159000
923426070,Mitchel,1991,5,TA,TA,10475,136000
924100050,Mitchel,1969,5,TA,TA,10544,161000
924151040,Mitchel,1994,8,Gd,Gd,9892,285000
924152030,Mitchel,1993,6,Gd,Gd,12961,231000
526302110,NAmes,1956,6,TA,TA,13008,124500
526351100,NAmes,1974,6,TA,TA,10200,157000
526355080,NAmes,1972,8,Ex,Gd,13860,345000
527105070,Gilbert,1997,6,TA,TA,10179,189500
527105130,Gilbert,2003,8,Gd,Gd,11792,270000
527107130,Gilbert,1996,7,TA,TA,8400,189000
527108070,Gilbert,2006,9,Ex,Ex,14892,377500
527110020,Gilbert,1995,7,TA,TA,8530,168500
527127100,StoneBr,2004,8,Gd,Gd,7296,375000
527131030,StoneBr,2000,8,Ex,Gd,5664,278000
527132090,StoneBr,1998,8,TA,TA,7380,240000
527146010,StoneBr,1995,8,Gd,Gd,8013,239500
527161040,Gilbert,1998,7,TA,Gd,8923,177500
527162110,Gilbert,1998,7,TA,TA,10141,185000
527162120,Gilbert,1998,6,TA,Gd,7500,191000
527163040,Gilbert,1993,6,TA,Gd,7837,178000
527163070,Gilbert,1993,6,TA,Ex,9765,185000
527163130,Gilbert,1994,6,Gd,TA,8803,181316
527164020,Gilbert,1993,6,Gd,TA,7250,166000
527164060,Gilbert,1992,6,TA,TA,9636,178000
527164090,Gilbert,1994,6,TA,TA,8125,174000
527165130,Gilbert,1992,6,Gd,TA,9248,173000
527166010,Gilbert,1999,7,Gd,Gd,10762,225000
527180100,Gilbert,1990,7,TA,TA,11851,180500
527182110,StoneBr,1984,8,Gd,Gd,5814,187500
527214050,StoneBr,2008,9,Ex,Ex,17423,501837
527254020,StoneBr,2008,8,Gd,Gd,11844,372500
527258020,StoneBr,2005,7,Gd,Gd,16158,260000
527276160,Gilbert,1977,5,TA,TA,11900,185000
527301320,NWAmes,1980,7,Ex,Gd,13005,260000
527302175,NWAmes,1979,6,TA,TA,17043,181000
527326040,NWAmes,1977,7,TA,TA,11900,82500
527326150,NWAmes,1977,6,Gd,Gd,16635,215000
527352150,NWAmes,1978,7,Gd,TA,13250,154000
527353020,NWAmes,1978,6,TA,TA,10928,200000
527353060,NWAmes,1980,7,Gd,TA,12388,249000
527354100,NWAmes,1980,7,TA,TA,14115,187500
527354200,NWAmes,1978,6,TA,TA,11088,184000
527355150,NWAmes,1981,8,Gd,Gd,9600,278000
527356040,NWAmes,1978,7,TA,TA,11880,157000
527359050,NWAmes,1976,7,TA,TA,10400,152000
527359180,NWAmes,1976,5,Gd,TA,10304,197500
527364030,Somerst,2003,7,Ex,Gd,7000,240900
527365030,Somerst,2009,8,TA,Gd,8004,263435
527366030,Somerst,2000,8,Gd,Gd,7500,220000
527368010,Somerst,2002,8,Gd,Gd,8470,235000
527375100,NWAmes,1975,5,TA,TA,9373,213000
527375180,NWAmes,1974,6,TA,TA,10140,167900
527375210,NWAmes,1975,7,TA,TA,11050,158000
527376100,NWAmes,1974,6,TA,TA,10140,165000
527378140,NWAmes,1972,6,TA,TA,10448,158000
527401160,NAmes,1974,5,TA,TA,9000,136000
527402220,NAmes,1970,5,TA,TA,8750,148500
527403040,NAmes,1969,6,Gd,TA,7930,156000
527404020,NAmes,1970,5,TA,TA,7830,128000
527404030,NAmes,1971,5,TA,TA,8510,143000
527405130,NAmes,1970,4,TA,TA,7038,76500
527405160,NAmes,1970,4,Gd,TA,6960,120500
527405180,NAmes,1970,4,TA,TA,8120,124500
527425060,NAmes,1971,4,TA,TA,10500,97000
527425110,NAmes,1971,4,TA,TA,9000,130000
527450280,BrDale,1973,6,TA,TA,1680,111000
527451110,BrDale,1970,5,TA,TA,2368,125000
527451320,BrDale,1971,5,TA,TA,1680,112000
527451540,BrDale,1972,6,TA,TA,1680,97000
527451640,BrDale,1972,6,Gd,TA,1680,118000
527451650,BrDale,1972,5,TA,TA,1680,119500
527452060,NPkVill,1976,6,TA,TA,4928,143750
527453050,NPkVill,1976,6,TA,TA,2308,146000
527453060,NPkVill,1976,6,TA,TA,2280,148500
527453140,NPkVill,1975,7,TA,TA,2280,123000
527454050,NPkVill,1974,6,TA,TA,2308,147000
527454130,NPkVill,1977,6,TA,TA,2349,137900
527455050,NPkVill,1978,6,TA,TA,2364,147000
527455060,NPkVill,1978,6,TA,TA,2289,148500
527455080,NPkVill,1978,6,TA,Gd,2364,138000
527455090,NPkVill,1976,7,TA,TA,2104,128500
527455240,NAmes,1967,5,TA,TA,7150,100000
527455280,NAmes,1966,5,TA,Gd,10710,148800
528102040,NridgHt,2006,10,Ex,Ex,12456,337500
528102140,NridgHt,2007,9,Ex,Ex,14257,462000
528104070,NridgHt,2008,9,Ex,Ex,13518,485000
528106020,NridgHt,2008,10,Ex,Ex,15431,555000
528106070,NridgHt,2006,9,Ex,Gd,13173,325000
528108010,NridgHt,2007,8,Gd,Gd,14230,256300
528108020,NridgHt,2008,8,Ex,Ex,12704,253293
528108040,NridgHt,2009,9,Ex,Gd,12350,398800
528108070,NridgHt,2008,9,Ex,Ex,11308,335000
528108130,NridgHt,2008,9,Ex,Ex,12350,404000
528108140,NridgHt,2009,10,Ex,Ex,12220,402861
528110010,NridgHt,2008,10,Ex,Ex,13478,451950
528110020,NridgHt,2007,10,Ex,Ex,13693,610000
528110090,NridgHt,2008,9,Ex,Ex,13891,582933
528112040,NridgHt,2008,9,Ex,Ex,11578,360000
528116010,NridgHt,2004,8,Gd,Gd,16870,296000
528118060,NridgHt,2007,8,Ex,Gd,23303,409900
528120020,NridgHt,2006,8,Gd,Gd,11146,255500
528120030,NridgHt,2008,9,Ex,Ex,10367,335000
528120160,NridgHt,2004,8,Ex,Gd,9591,274900
528120170,NridgHt,2006,9,Ex,Gd,10872,300000
528138010,NridgHt,2008,9,Ex,Ex,13514,324000
528142040,NridgHt,2004,9,Ex,Gd,8834,350000
528142090,NridgHt,2004,8,Gd,Gd,11362,280000
528142130,NridgHt,2003,8,Gd,Gd,10655,284000
528142150,NridgHt,2003,7,Gd,Gd,12878,269500
528144020,NridgHt,2009,7,Gd,Gd,9541,233170
528166060,NridgHt,2003,10,Ex,Ex,13472,386250
528166090,NridgHt,2003,9,Ex,Gd,15274,445000
528168030,NridgHt,2003,8,Gd,Gd,13262,290000
528172060,NridgHt,2006,8,Gd,Gd,9658,255900
528174050,NridgHt,2005,6,Gd,Gd,6904,213000
528174060,NridgHt,2005,6,Gd,Gd,5381,196000
528174070,NridgHt,2005,6,Gd,Gd,5122,184500
528175050,NridgHt,2007,7,Gd,Gd,10307,212500
528175060,NridgHt,2007,7,Gd,Gd,5001,230000
528176030,NridgHt,2004,10,Ex,Ex,14836,552000
528178010,NridgHt,2003,8,Ex,Gd,15262,382500
528180120,NridgHt,2008,9,Ex,Ex,7390,320000
528180130,NridgHt,2008,9,Ex,Ex,6472,248500
528186010,NridgHt,2002,8,Gd,Gd,16770,286500
528186180,NridgHt,2006,8,Gd,Gd,6240,254000
528188020,NridgHt,2003,7,Gd,Gd,3480,173000
528188060,NridgHt,2003,7,Gd,Gd,2268,173000
528218090,Gilbert,2005,7,Gd,Gd,10928,184000
528220040,Gilbert,2005,6,Gd,Gd,8918,167800
528221060,Gilbert,2005,6,Gd,Gd,12589,174000
528221070,Gilbert,2005,6,Gd,Gd,11911,174000
528228290,Blmngtn,2007,7,Gd,Gd,3684,174000
528228295,Blmngtn,2007,7,Gd,Gd,3635,175900
528228435,Blmngtn,2005,7,Gd,Gd,3182,192500
528228450,Blmngtn,2005,7,Gd,Gd,3182,181000
528228455,Blmngtn,2005,7,Gd,Gd,3182,180000
528228460,Blmngtn,2005,7,Gd,Gd,3182,160200
528235010,Gilbert,2004,7,Gd,Gd,7795,188500
528235090,Gilbert,2002,6,Gd,Gd,8068,200000
528235200,Gilbert,2004,7,Gd,Gd,9434,170000
528240030,Gilbert,2004,7,Gd,Gd,7984,189500
528240060,Gilbert,2002,8,Gd,Gd,7750,184100
528240150,Gilbert,2004,7,Gd,Gd,10125,195500
528250020,Gilbert,2003,7,Gd,Gd,8965,192000
528250040,Gilbert,2003,7,Gd,Gd,8174,178000
528253010,NridgHt,2007,7,Gd,Gd,5063,207500
528275070,Gilbert,2000,7,Gd,Gd,8795,236000
528275160,Gilbert,2002,8,Gd,Gd,12891,257500
528280230,Gilbert,2000,6,Gd,Gd,12224,244000
528290030,Gilbert,2004,7,Gd,Gd,9734,167000
528290120,Gilbert,2000,6,TA,TA,8123,179000
528290180,Gilbert,2000,6,TA,TA,8433,190000
528290190,Gilbert,1999,7,TA,TA,7750,156000
528292030,Gilbert,1999,7,Gd,Gd,15896,245000
528292040,Gilbert,1999,6,TA,TA,24682,181000
528292070,Gilbert,1999,7,Gd,Gd,8755,214000
528294050,Gilbert,1999,7,TA,TA,7848,168000
528315090,NoRidge,1999,8,Gd,Gd,9430,337000
528321010,NoRidge,1995,8,Ex,Gd,15138,403000
528327070,NoRidge,2000,8,Gd,Gd,12720,327000
528344040,NoRidge,1998,8,Gd,Gd,16545,340000
528344100,NoRidge,1998,8,Gd,Gd,12203,336000
528354050,NoRidge,1996,7,Gd,Gd,10208,265000
528363050,NoRidge,1994,8,Gd,Gd,10750,315000
528365070,NoRidge,1993,7,Gd,Gd,9900,260000
528385050,NoRidge,1995,7,Gd,Gd,9085,260000
