Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Suriname,Americas,80547,13730.414,131,22.331,131,1350,230.127,9,1.534,9
French Polynesia,Western Pacific,72962,25973.628,64,22.783,31,649,231.036,0,0,0
Eswatini,Africa,72397,6240.238,97,8.361,0,1407,121.276,1,0.086,0
Fiji,Western Pacific,65007,7251.644,109,12.159,0,864,96.381,2,0.223,0
Guyana,Americas,64763,8233.785,421,53.525,135,1234,156.887,2,0.254,0
Madagascar,Africa,64377,232.483,63,0.228,0,1395,5.038,2,0.007,0
Sudan,Eastern Mediterranean,62374,142.246,76,0.173,0,4942,11.27,1,0.002,0
New Caledonia,Western Pacific,62329,21831.677,321,112.435,0,313,109.633,0,0,0
Bhutan,South-East Asia,59628,7727.758,14,1.814,0,21,2.722,0,0,0
Belize,Americas,59365,14929.784,616,154.919,122,677,170.26,0,0,0
Mauritania,Africa,59127,1271.642,44,0.946,0,982,21.12,0,0,0
Cabo Verde,Africa,56384,10141.244,144,25.9,0,402,72.304,1,0.18,0
Syrian Arab Republic,Eastern Mediterranean,55894,319.382,9,0.051,1,3150,17.999,0,0,0
Jersey,Europe,50740,47070.392,154,142.862,20,129,119.67,0,0,0
Gabon,Africa,47677,2142.08,55,2.471,0,304,13.658,0,0,0
Papua New Guinea,Western Pacific,44622,498.736,197,2.202,71,651,7.276,0,0,0
Seychelles,Africa,44089,44830.041,156,158.622,0,167,169.807,0,0,0
Curaçao,Americas,43953,26785.42,331,201.715,0,277,168.807,0,0,0
Andorra,Europe,42894,55515.434,0,0,0,153,198.02,0,0,0
Burundi,Africa,42084,353.921,97,0.816,0,15,0.126,0,0,0
Guam,Western Pacific,41341,24494.742,190,112.576,74,363,215.079,1,0.593,0
Mayotte,Africa,37581,13775.269,58,21.26,0,187,68.545,0,0,0
Aruba,Americas,37352,34984.92,788,738.063,0,213,199.502,0,0,0
Togo,Africa,37097,448.1,32,0.387,2,273,3.298,0,0,0
Guinea,Africa,36764,279.94,0,0,0,442,3.366,0,0,0
Bahamas,Americas,34713,8827.344,276,70.185,0,810,205.979,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
United Republic of Tanzania,Africa,33928,56.798,0,0,0,803,1.344,0,0,0
Lesotho,Africa,33562,1566.671,92,4.295,0,699,32.629,1,0.047,0
Isle of Man,Europe,33098,38924.17,132,155.236,132,107,125.835,2,2.352,1
Mali,Africa,31102,153.584,33,0.163,5,735,3.629,1,0.005,1
Haiti,Americas,30818,270.273,0,0,0,835,7.323,0,0,0
Benin,Africa,26914,222.004,244,2.013,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26565,167.147,30,0.189,0,1361,8.563,0,0,0
Saint Lucia,Americas,25877,14092.154,745,405.714,156,371,202.04,1,0.545,0
Guernsey,Europe,25703,39869.393,124,192.343,0,47,72.904,0,0,0
Cayman Islands,Americas,25318,38524.041,841,1279.671,0,28,42.605,0,0,0
Congo,Africa,24128,437.253,76,1.377,0,385,6.977,0,0,0
Timor-Leste,South-East Asia,22917,1738.184,13,0.986,1,131,9.936,0,0,0
Solomon Islands,Western Pacific,21237,3091.788,3063,445.927,0,149,21.692,3,0.437,0
Burkina Faso,Africa,20899,99.98,0,0,0,384,1.837,0,0,0
United States Virgin Islands,Americas,19971,19124.731,719,688.532,154,113,108.212,0,0,0
Gibraltar,Europe,18419,54670.387,146,433.35,0,102,302.751,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Grenada,Americas,17750,15774.553,268,238.174,0,226,200.848,1,0.889,0
South Sudan,Africa,17619,157.401,29,0.259,0,138,1.233,0,0,0
Liechtenstein,Europe,17436,44999.613,36,92.91,0,83,214.21,0,0,0
San Marino,Europe,17124,50456.715,50,147.327,0,115,338.853,0,0,0
Equatorial Guinea,Africa,15921,1134.795,11,0.784,0,183,13.044,0,0,0
Djibouti,Eastern Mediterranean,15675,1586.538,0,0,0,189,19.13,0,0,0
Bermuda,Americas,14755,23694.057,313,502.626,0,138,221.605,1,1.606,0
Nicaragua,Americas,14538,219.456,30,0.453,0,239,3.608,1,0.015,0
Central African Republic,Africa,14371,297.551,0,0,0,113,2.34,0,0,0
Dominica,Americas,14184,19702.463,0,0,0,65,90.289,0,0,0
Samoa,Western Pacific,13499,6803.451,656,330.622,0,26,13.104,1,0.504,0
Monaco,Europe,12230,31164,78,198.756,14,57,145.245,0,0,0
Gambia,Africa,12002,496.634,0,0,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11822,39.637,3,0.01,0,2149,7.205,0,0,0
Tonga,Western Pacific,11742,11109.324,254,240.314,98,12,11.353,1,0.946,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11366,19747.381,33,57.334,0,34,59.072,0,0,0
Saint Martin,Americas,10688,27646.861,70,181.07,0,44,113.816,0,0,0
Sint Maarten,Americas,10353,24142.997,74,172.567,0,86,200.55,0,0,0
Eritrea,Africa,9757,275.122,1,0.028,0,103,2.904,0,0,0
Vanuatu,Western Pacific,9230,3005.095,415,135.115,90,14,4.558,0,0,0
Niger,Africa,9031,37.308,0,0,0,310,1.281,0,0,0
Saint Vincent and the Grenadines,Americas,8741,7879.034,84,75.717,24,108,97.35,2,1.803,1
Bonaire,Americas,8594,41090.127,39,186.469,0,30,143.438,0,0,0
Guinea-Bissau,Africa,8269,420.173,9,0.457,0,171,8.689,0,0,0
Antigua and Barbuda,Americas,8253,8427.534,271,276.731,90,138,140.918,0,0,0
Comoros,Africa,8126,934.452,6,0.69,0,160,18.399,0,0,0
Sierra Leone,Africa,7682,96.302,0,0,0,125,1.567,0,0,0
Liberia,Africa,7456,147.419,1,0.02,0,294,5.813,0,0,0
Chad,Africa,7417,45.154,0,0,0,193,1.175,0,0,0
British Virgin Islands,Americas,6765,22373.251,75,248.04,0,62,205.047,0,0,0
American Samoa,Western Pacific,6192,11218.001,77,139.5,45,31,56.162,0,0,0
Turks and Caicos Islands,Americas,6123,15814.35,0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,5982,2729.525,0,0,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,5757,10823.056,60,112.799,28,43,80.839,0,0,0
Cook Islands,Western Pacific,5681,32344.568,68,387.156,24,1,5.693,0,0,0
Palau,Western Pacific,5065,27995.799,45,248.729,0,6,33.164,0,0,0
Saint Barthélemy,Americas,4594,46474.456,23,232.676,0,4,40.465,0,0,0
Anguilla,Americas,3294,21957.072,91,606.586,91,9,59.992,0,0,0
Kiribati,Western Pacific,3098,2593.576,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,2748,47420.19,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1702,48865.92,39,1119.724,0,0,0,0,0,0
Montserrat,Americas,975,19503.901,17,340.068,0,6,120.024,2,40.008,0
Sint Eustatius,Americas,924,29436.126,0,0,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,605,31298.5,8,413.864,0,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Micronesia (Federated States of),Western Pacific,30,26.082,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,17,28.719,0,0,0,0,0,0,0,0
Niue,Western Pacific,9,556.242,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
